"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"18/07/2019","4.240","4.220","4.250","4.210","45,41M","0,24%"
"17/07/2019","4.230","4.250","4.260","4.220","32,07M","-0,24%"
"16/07/2019","4.240","4.240","4.280","4.210","45,46M","-0,93%"
"15/07/2019","4.280","4.250","4.290","4.230","66,96M","2,39%"
"12/07/2019","4.180","4.240","4.250","4.170","57,09M","-2,11%"
"11/07/2019","4.270","4.250","4.280","4.240","25,65M","-0,47%"
"10/07/2019","4.290","4.310","4.320","4.260","62,53M","-1,38%"
"09/07/2019","4.350","4.300","4.370","4.270","124,82M","1,87%"
"08/07/2019","4.270","4.230","4.290","4.210","57,90M","-0,23%"
"05/07/2019","4.280","4.260","4.280","4.240","50,33M","0,71%"
"04/07/2019","4.250","4.190","4.260","4.190","38,46M","0,24%"
"03/07/2019","4.240","4.160","4.240","4.160","63,30M","-0,24%"
"02/07/2019","4.250","4.240","4.250","4.180","88,00M","0,71%"
"01/07/2019","4.220","4.200","4.240","4.170","79,38M","1,93%"
"28/06/2019","4.140","4.100","4.200","4.090","130,15M","1,22%"
"27/06/2019","4.090","4.010","4.120","4.000","94,22M","2,76%"
"26/06/2019","3.980","4.020","4.050","3.980","56,09M","-0,75%"
"25/06/2019","4.010","4.040","4.040","4.000","42,60M","0,75%"
"24/06/2019","3.980","4.050","4.050","3.970","50,53M","-1,49%"
"21/06/2019","4.040","4.010","4.040","3.950","154,05M","0,00%"
"20/06/2019","4.040","4.110","4.110","4.020","57,67M","-1,46%"
"19/06/2019","4.100","4.020","4.120","4.020","100,21M","3,02%"
"18/06/2019","3.980","3.890","3.990","3.890","66,11M","2,05%"
"17/06/2019","3.900","3.950","3.970","3.900","60,85M","-2,26%"
"14/06/2019","3.990","4.020","4.050","3.970","92,47M","0,00%"
"13/06/2019","3.990","3.940","3.990","3.900","115,73M","1,27%"
"12/06/2019","3.940","3.880","3.950","3.840","134,72M","-1,99%"
"11/06/2019","4.020","4.010","4.060","4.000","88,86M","-0,50%"
"10/06/2019","4.040","4.000","4.060","3.970","222,52M","3,59%"
"31/05/2019","3.900","3.780","3.930","3.780","194,33M","3,17%"
"29/05/2019","3.780","3.750","3.830","3.730","122,53M","2,44%"
"28/05/2019","3.690","3.800","3.820","3.690","322,25M","-3,40%"
"27/05/2019","3.820","3.760","3.830","3.750","87,15M","1,87%"
"24/05/2019","3.750","3.700","3.780","3.690","87,59M","2,46%"
"23/05/2019","3.660","3.540","3.690","3.540","113,28M","3,39%"
"22/05/2019","3.540","3.590","3.600","3.540","63,69M","-1,67%"
"21/05/2019","3.600","3.600","3.630","3.550","106,10M","0,00%"
"20/05/2019","3.600","3.520","3.620","3.480","82,35M","2,56%"
"17/05/2019","3.510","3.610","3.620","3.500","94,44M","-2,50%"
"16/05/2019","3.600","3.660","3.720","3.530","107,37M","-1,64%"
"15/05/2019","3.660","3.770","3.790","3.660","57,60M","-2,66%"
"14/05/2019","3.760","3.730","3.800","3.720","77,48M","-0,27%"
"13/05/2019","3.770","3.820","3.840","3.760","47,61M","-0,53%"
"10/05/2019","3.790","3.800","3.840","3.790","66,67M","-0,26%"
"09/05/2019","3.800","3.860","3.900","3.800","74,72M","-2,56%"
"08/05/2019","3.900","3.890","3.920","3.870","77,74M","0,00%"
"07/05/2019","3.900","3.870","3.910","3.840","74,81M","1,56%"
"06/05/2019","3.840","3.760","3.840","3.720","107,17M","0,52%"
"03/05/2019","3.820","3.800","3.830","3.760","101,52M","-0,26%"
"02/05/2019","3.830","3.760","3.880","3.760","136,77M","1,06%"
"30/04/2019","3.790","3.890","3.890","3.750","132,32M","-1,81%"
"29/04/2019","3.860","3.850","3.900","3.850","50,14M","-1,28%"
"26/04/2019","3.910","3.800","3.910","3.800","66,45M","2,09%"
"25/04/2019","3.830","3.800","3.840","3.790","52,78M","-0,26%"
"24/04/2019","3.840","3.850","3.860","3.780","76,66M","-0,26%"
"23/04/2019","3.850","3.780","3.870","3.730","86,44M","1,85%"
"22/04/2019","3.780","3.860","3.860","3.780","48,67M","-2,07%"
"18/04/2019","3.860","3.920","3.950","3.840","119,26M","-0,26%"
"16/04/2019","3.870","3.830","3.880","3.830","62,57M","1,04%"
"15/04/2019","3.830","3.860","3.860","3.810","44,51M","0,00%"
"12/04/2019","3.830","3.820","3.870","3.810","64,48M","-1,03%"
"11/04/2019","3.870","3.900","3.930","3.870","75,42M","-2,03%"
"10/04/2019","3.950","3.920","3.950","3.890","76,95M","-0,50%"
"09/04/2019","3.970","3.980","4.000","3.910","114,02M","-0,25%"
"08/04/2019","3.980","4.020","4.030","3.940","113,10M","-1,73%"
"05/04/2019","4.050","4.020","4.090","4.000","90,48M","0,25%"
"04/04/2019","4.040","3.980","4.040","3.950","115,10M","2,28%"
"02/04/2019","3.950","3.910","3.950","3.910","47,51M","0,51%"
"01/04/2019","3.930","3.950","3.960","3.900","48,11M","-0,51%"
"29/03/2019","3.950","3.880","3.970","3.880","145,01M","1,54%"
"28/03/2019","3.890","3.820","3.910","3.810","85,49M","1,83%"
"27/03/2019","3.820","3.840","3.840","3.810","55,71M","0,00%"
"26/03/2019","3.820","3.780","3.820","3.780","31,81M","1,33%"
"25/03/2019","3.770","3.730","3.790","3.720","67,40M","-1,31%"
"22/03/2019","3.820","3.800","3.820","3.790","47,26M","0,53%"
"21/03/2019","3.800","3.800","3.810","3.770","56,83M","0,53%"
"20/03/2019","3.780","3.810","3.820","3.750","64,95M","0,00%"
"19/03/2019","3.780","3.800","3.820","3.770","47,45M","-1,31%"
"18/03/2019","3.830","3.770","3.830","3.760","60,60M","2,41%"
"15/03/2019","3.740","3.720","3.760","3.710","152,54M","0,27%"
"14/03/2019","3.730","3.720","3.760","3.710","89,30M","0,00%"
"13/03/2019","3.730","3.730","3.770","3.700","86,68M","-1,84%"
"12/03/2019","3.800","3.800","3.820","3.730","61,13M","0,80%"
"11/03/2019","3.770","3.780","3.820","3.760","62,25M","0,80%"
"08/03/2019","3.740","3.810","3.820","3.740","105,96M","-2,09%"
"06/03/2019","3.820","3.860","3.880","3.820","69,93M","-1,29%"
"05/03/2019","3.870","3.890","3.890","3.820","41,17M","0,52%"
"04/03/2019","3.850","3.910","3.910","3.850","32,25M","-1,53%"
"01/03/2019","3.910","3.890","3.920","3.880","49,81M","1,30%"
"28/02/2019","3.860","3.880","3.900","3.840","161,16M","-1,28%"
"27/02/2019","3.910","3.900","3.940","3.890","48,79M","-0,51%"
"26/02/2019","3.930","3.920","3.930","3.880","49,66M","0,51%"
"25/02/2019","3.910","3.900","3.920","3.850","53,79M","1,82%"
"22/02/2019","3.840","3.870","3.870","3.820","61,39M","-0,78%"
"21/02/2019","3.870","3.870","3.890","3.860","48,03M","0,00%"
"20/02/2019","3.870","3.940","3.940","3.830","87,93M","-1,28%"
"19/02/2019","3.920","3.930","3.940","3.900","82,96M","0,51%"
"18/02/2019","3.900","3.830","3.920","3.830","80,28M","2,90%"
"15/02/2019","3.790","3.770","3.800","3.730","67,81M","1,34%"
"14/02/2019","3.740","3.790","3.810","3.740","76,94M","-1,32%"
"13/02/2019","3.790","3.840","3.850","3.780","113,16M","-0,79%"
"12/02/2019","3.820","3.900","3.910","3.800","92,43M","-2,80%"
"11/02/2019","3.930","3.870","3.940","3.860","88,63M","2,08%"
"08/02/2019","3.850","3.810","3.850","3.810","32,13M","-0,26%"
"07/02/2019","3.860","3.890","3.890","3.830","39,14M","0,00%"
"06/02/2019","3.860","3.820","3.870","3.820","72,18M","2,12%"
"04/02/2019","3.780","3.890","3.890","3.780","70,07M","-2,33%"
