"Date","Price","Open","High","Low","Vol.","Change %"
"May 28, 2019","3,690","3,800","3,820","3,690","322.25M","-3.40%"
"May 27, 2019","3,820","3,760","3,830","3,750","87.15M","1.87%"
"May 24, 2019","3,750","3,700","3,780","3,690","87.59M","2.46%"
"May 23, 2019","3,660","3,540","3,690","3,540","113.28M","3.39%"
"May 22, 2019","3,540","3,590","3,600","3,540","63.69M","-1.67%"
"May 21, 2019","3,600","3,600","3,630","3,550","106.10M","0.00%"
"May 20, 2019","3,600","3,520","3,620","3,480","82.35M","2.56%"
"May 17, 2019","3,510","3,610","3,620","3,500","94.44M","-2.50%"
"May 16, 2019","3,600","3,660","3,720","3,530","107.37M","-1.64%"
"May 15, 2019","3,660","3,770","3,790","3,660","57.60M","-2.66%"
"May 14, 2019","3,760","3,730","3,800","3,720","77.48M","-0.27%"
"May 13, 2019","3,770","3,820","3,840","3,760","47.61M","-0.53%"
"May 10, 2019","3,790","3,800","3,840","3,790","66.67M","-0.26%"
"May 09, 2019","3,800","3,860","3,900","3,800","74.72M","-2.56%"
"May 08, 2019","3,900","3,890","3,920","3,870","77.74M","0.00%"
"May 07, 2019","3,900","3,870","3,910","3,840","74.81M","1.56%"
"May 06, 2019","3,840","3,760","3,840","3,720","107.17M","0.52%"
"May 03, 2019","3,820","3,800","3,830","3,760","101.52M","-0.26%"
"May 02, 2019","3,830","3,760","3,880","3,760","136.77M","1.06%"
"Apr 30, 2019","3,790","3,890","3,890","3,750","132.32M","-1.81%"
"Apr 29, 2019","3,860","3,850","3,900","3,850","50.14M","-1.28%"
